Name,Team,Number,Position,Age,Height,Weight,College,Salary
Thomas Robinson,Brooklyn Nets,41,PF,25,6-10,237,Kansas,981348
Henry Sims,Brooklyn Nets,14,C,26,6-10,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,15,PG,28,6-3,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,30,PF,27,6-8,221,Georgia Tech,1.1235955e+07
Arron Afflalo,New York Knicks,4,SG,30,6-5,210,UCLA,8e+06
Lou Amundson,New York Knicks,17,PF,33,6-9,220,UNLV,1.635476e+06
Thanasis Antetokounmpo,New York Knicks,43,SF,23,6-7,205,,30888
Carmelo Anthony,New York Knicks,7,SF,32,6-8,240,Syracuse,2.2875e+07
Jose Calderon,New York Knicks,3,PG,34,6-3,200,,7.402812e+06
Cleanthony Early,New York Knicks,11,SF,25,6-8,210,Wichita State,845059
Langston Galloway,New York Knicks,2,SG,24,6-2,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,13,PG,23,6-4,195,Notre Dame,1.57236e+06
Robin Lopez,New York Knicks,8,C,28,7-0,255,Stanford,1.265e+07
Kyle O'Quinn,New York Knicks,9,PF,26,6-10,250,Norfolk State,3.75e+06
Kristaps Porzingis,New York Knicks,6,PF,20,7-3,240,,4.13172e+06
Kevin Seraphin,New York Knicks,1,C,26,6-10,278,,2.814e+06
Lance Thomas,New York Knicks,42,SF,28,6-8,235,Duke,1.636842e+06
Sasha Vujacic,New York Knicks,18,SG,32,6-7,195,,947276
Derrick Williams,New York Knicks,23,PF,25,6-8,240,Arizona,4e+06
Tony Wroten,New York Knicks,5,SG,23,6-6,205,Washington,167406
Elton Brand,Philadelphia 76ers,42,PF,37,6-9,254,Duke,NaN
Isaiah Canaan,Philadelphia 76ers,0,PG,25,6-0,201,Murray State,947276
Robert Covington,Philadelphia 76ers,33,SF,25,6-9,215,Tennessee State,1e+06
Joel Embiid,Philadelphia 76ers,21,C,22,7-0,250,Kansas,4.62696e+06
Jerami Grant,Philadelphia 76ers,39,SF,22,6-8,210,Syracuse,845059
Richaun Holmes,Philadelphia 76ers,22,PF,22,6-10,245,Bowling Green,1.074169e+06
Carl Landry,Philadelphia 76ers,7,PF,32,6-9,248,Purdue,6.5e+06
Kendall Marshall,Philadelphia 76ers,5,PG,24,6-4,200,North Carolina,2.144772e+06
T.J. McConnell,Philadelphia 76ers,12,PG,24,6-2,200,Arizona,525093
Nerlens Noel,Philadelphia 76ers,4,PF,22,6-11,228,Kentucky,3.4578e+06
Jahlil Okafor,Philadelphia 76ers,8,C,20,6-11,275,Duke,4.58268e+06
Ish Smith,Philadelphia 76ers,1,PG,27,6-0,175,Wake Forest,947276
Nik Stauskas,Philadelphia 76ers,11,SG,22,6-6,205,Michigan,2.86944e+06
Hollis Thompson,Philadelphia 76ers,31,SG,25,6-8,206,Georgetown,947276
Christian Wood,Philadelphia 76ers,35,PF,20,6-11,220,UNLV,525093
Bismack Biyombo,Toronto Raptors,8,C,23,6-9,245,,2.814e+06
Bruno Caboclo,Toronto Raptors,20,SF,20,6-9,205,,1.524e+06
DeMarre Carroll,Toronto Raptors,5,SF,29,6-8,212,Missouri,1.36e+07
DeMar DeRozan,Toronto Raptors,10,SG,26,6-7,220,USC,1.005e+07
James Johnson,Toronto Raptors,3,PF,29,6-9,250,Wake Forest,2.5e+06
Cory Joseph,Toronto Raptors,6,PG,24,6-3,190,Texas,7e+06
Kyle Lowry,Toronto Raptors,7,PG,30,6-0,205,Villanova,1.2e+07
Lucas Nogueira,Toronto Raptors,92,C,23,7-0,220,,1.842e+06
Patrick Patterson,Toronto Raptors,54,PF,27,6-9,235,Kentucky,6.268675e+06
Norman Powell,Toronto Raptors,24,SG,23,6-4,215,UCLA,650000
Terrence Ross,Toronto Raptors,31,SF,25,6-7,195,Washington,3.553917e+06
Luis Scola,Toronto Raptors,4,PF,36,6-9,240,,2.9e+06
Jason Thompson,Toronto Raptors,1,PF,29,6-11,250,Rider,245177
Jonas Valanciunas,Toronto Raptors,17,C,24,7-0,255,,4.660482e+06
Delon Wright,Toronto Raptors,55,PG,24,6-5,190,Utah,1.50936e+06
Leandro Barbosa,Golden State Warriors,19,SG,33,6-3,194,,2.5e+06
Harrison Barnes,Golden State Warriors,40,SF,24,6-8,225,North Carolina,3.873398e+06
Andrew Bogut,Golden State Warriors,12,C,31,7-0,260,Utah,1.38e+07
Ian Clark,Golden State Warriors,21,SG,25,6-3,175,Belmont,947276
Stephen Curry,Golden State Warriors,30,PG,28,6-3,190,Davidson,1.1370786e+07
Festus Ezeli,Golden State Warriors,31,C,26,6-11,265,Vanderbilt,2.008748e+06
Draymond Green,Golden State Warriors,23,PF,26,6-7,230,Michigan State,1.426087e+07
Andre Iguodala,Golden State Warriors,9,SF,32,6-6,215,Arizona,1.1710456e+07
Shaun Livingston,Golden State Warriors,34,PG,30,6-7,192,,5.543725e+06
Kevon Looney,Golden State Warriors,36,SF,20,6-9,220,UCLA,1.13196e+06
James Michael McAdoo,Golden State Warriors,20,SF,23,6-9,240,North Carolina,845059
Brandon Rush,Golden State Warriors,4,SF,30,6-6,220,Kansas,1.270964e+06
Marreese Speights,Golden State Warriors,5,C,28,6-10,255,Florida,3.815e+06
Klay Thompson,Golden State Warriors,11,SG,26,6-7,215,Washington State,1.5501e+07
Anderson Varejao,Golden State Warriors,18,PF,33,6-11,273,,289755
Cole Aldrich,Los Angeles Clippers,45,C,27,6-11,250,Kansas,1.100602e+06
Jeff Ayres,Los Angeles Clippers,19,PF,29,6-9,250,Arizona State,111444
Jamal Crawford,Los Angeles Clippers,11,SG,36,6-5,195,Michigan,5.675e+06
Branden Dawson,Los Angeles Clippers,22,SF,23,6-6,225,Michigan State,525093
Jeff Green,Los Angeles Clippers,8,SF,29,6-9,235,Georgetown,9.65e+06
Blake Griffin,Los Angeles Clippers,32,PF,27,6-10,251,Oklahoma,1.8907726e+07
Wesley Johnson,Los Angeles Clippers,33,SF,28,6-7,215,Syracuse,1.100602e+06
DeAndre Jordan,Los Angeles Clippers,6,C,27,6-11,265,Texas A&M,1.9689e+07
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,6-8,230,UCLA,947276
Chris Paul,Los Angeles Clippers,3,PG,31,6-0,175,Wake Forest,2.1468695e+07
Paul Pierce,Los Angeles Clippers,34,SF,38,6-7,235,Kansas,3.376e+06
Pablo Prigioni,Los Angeles Clippers,9,PG,39,6-3,185,,947726
JJ Redick,Los Angeles Clippers,4,SG,31,6-4,190,Duke,7.085e+06
Austin Rivers,Los Angeles Clippers,25,PG,23,6-4,200,Duke,3.110796e+06
C.J. Wilcox,Los Angeles Clippers,30,SG,25,6-5,195,Washington,1.15968e+06
Brandon Bass,Los Angeles Lakers,2,PF,31,6-8,250,LSU,3e+06
Tarik Black,Los Angeles Lakers,28,C,24,6-9,250,Kansas,845059
Anthony Brown,Los Angeles Lakers,3,SF,23,6-7,210,Stanford,700000
Kobe Bryant,Los Angeles Lakers,24,SF,37,6-6,212,,2.5e+07
Jordan Clarkson,Los Angeles Lakers,6,PG,24,6-5,194,Missouri,845059
Roy Hibbert,Los Angeles Lakers,17,C,29,7-2,270,Georgetown,1.5592217e+07
Marcelo Huertas,Los Angeles Lakers,9,PG,33,6-3,200,,525093
Ryan Kelly,Los Angeles Lakers,4,PF,25,6-11,230,Duke,1.72425e+06
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,6-9,230,Wyoming,1.1556e+06
Julius Randle,Los Angeles Lakers,30,PF,21,6-9,250,Kentucky,3.13224e+06
D'Angelo Russell,Los Angeles Lakers,1,PG,20,6-5,195,Ohio State,5.10312e+06
Robert Sacre,Los Angeles Lakers,50,C,27,7-0,270,Gonzaga,981348
Louis Williams,Los Angeles Lakers,23,SG,29,6-1,175,,7e+06
Metta World Peace,Los Angeles Lakers,37,SF,36,6-7,260,St. John's,947276
Nick Young,Los Angeles Lakers,0,SF,31,6-7,210,USC,5.219169e+06
Eric Bledsoe,Phoenix Suns,2,PG,26,6-1,190,Kentucky,1.35e+07
Devin Booker,Phoenix Suns,1,SG,19,6-6,206,Kentucky,2.12784e+06
Chase Budinger,Phoenix Suns,10,SF,28,6-7,209,Arizona,206192
Tyson Chandler,Phoenix Suns,4,C,33,7-1,240,,1.3e+07
Archie Goodwin,Phoenix Suns,20,SG,21,6-5,200,Kentucky,1.16016e+06
John Jenkins,Phoenix Suns,23,SG,25,6-4,215,Vanderbilt,981348
Brandon Knight,Phoenix Suns,3,PG,24,6-3,189,Kentucky,1.35e+07
Alex Len,Phoenix Suns,21,C,22,7-1,260,Maryland,3.80712e+06
Jon Leuer,Phoenix Suns,30,PF,27,6-10,228,Wisconsin,1.035e+06
Phil Pressey,Phoenix Suns,25,PG,25,5-11,175,Missouri,55722
Ronnie Price,Phoenix Suns,14,PG,32,6-2,190,Utah Valley,947276
Mirza Teletovic,Phoenix Suns,35,PF,30,6-9,242,,5.5e+06
P.J. Tucker,Phoenix Suns,17,SF,31,6-6,245,Texas,5.5e+06
T.J. Warren,Phoenix Suns,12,SF,22,6-8,230,North Carolina State,2.04108e+06
Alan Williams,Phoenix Suns,15,C,23,6-8,260,UC Santa Barbara,83397
Quincy Acy,Sacramento Kings,13,SF,25,6-7,240,Baylor,981348
James Anderson,Sacramento Kings,5,SG,27,6-6,213,Oklahoma State,1.015421e+06
Marco Belinelli,Sacramento Kings,3,SG,30,6-5,210,,6.060606e+06
Caron Butler,Sacramento Kings,31,SF,36,6-7,228,Connecticut,1.449187e+06
Omri Casspi,Sacramento Kings,18,SF,27,6-9,225,,2.836186e+06
Willie Cauley-Stein,Sacramento Kings,0,C,22,7-0,240,Kentucky,3.39828e+06
Darren Collison,Sacramento Kings,7,PG,28,6-0,175,UCLA,5.013559e+06
DeMarcus Cousins,Sacramento Kings,15,C,25,6-11,270,Kentucky,1.585195e+07
Seth Curry,Sacramento Kings,30,SG,25,6-2,185,Duke,947276
Duje Dukan,Sacramento Kings,26,PF,24,6-9,220,Wisconsin,525093
Rudy Gay,Sacramento Kings,8,SF,29,6-8,230,Connecticut,1.2403101e+07
Kosta Koufos,Sacramento Kings,41,C,27,7-0,265,Ohio State,7.7e+06
Ben McLemore,Sacramento Kings,23,SG,23,6-5,195,Kansas,3.1566e+06
Eric Moreland,Sacramento Kings,25,PF,24,6-10,238,Oregon State,845059
Rajon Rondo,Sacramento Kings,9,PG,30,6-1,186,Kentucky,9.5e+06
Cameron Bairstow,Chicago Bulls,41,PF,25,6-9,250,New Mexico,845059
Aaron Brooks,Chicago Bulls,0,PG,31,6-0,161,Oregon,2.25e+06
Jimmy Butler,Chicago Bulls,21,SG,26,6-7,220,Marquette,1.64075e+07
Mike Dunleavy,Chicago Bulls,34,SG,35,6-9,230,Duke,4.5e+06
Cristiano Felicio,Chicago Bulls,6,PF,23,6-10,275,,525093
Pau Gasol,Chicago Bulls,16,C,35,7-0,250,,7.44876e+06
Taj Gibson,Chicago Bulls,22,PF,30,6-9,225,USC,8.5e+06
Justin Holiday,Chicago Bulls,7,SG,27,6-6,185,Washington,947276
Doug McDermott,Chicago Bulls,3,SF,24,6-8,225,Creighton,2.38044e+06
Nikola Mirotic,Chicago Bulls,44,PF,25,6-10,220,,5.543725e+06
E'Twaun Moore,Chicago Bulls,55,SG,27,6-4,191,Purdue,1.015421e+06
Joakim Noah,Chicago Bulls,13,C,31,6-11,232,Florida,1.34e+07
Bobby Portis,Chicago Bulls,5,PF,21,6-11,230,Arkansas,1.39116e+06
Derrick Rose,Chicago Bulls,1,PG,27,6-3,190,Memphis,2.0093064e+07
Tony Snell,Chicago Bulls,20,SF,24,6-7,200,New Mexico,1.53588e+06
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,6-4,198,Saint Mary's,1.147276e+06
Channing Frye,Cleveland Cavaliers,9,PF,33,6-11,255,Arizona,8.193029e+06
Kyrie Irving,Cleveland Cavaliers,2,PG,24,6-3,193,Duke,1.6407501e+07
LeBron James,Cleveland Cavaliers,23,SF,31,6-8,250,,2.29705e+07
Richard Jefferson,Cleveland Cavaliers,24,SF,35,6-7,233,Arizona,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,35,6-6,225,Duke,NaN
James Jones,Cleveland Cavaliers,1,SG,35,6-8,218,Miami (FL),947276
Sasha Kaun,Cleveland Cavaliers,14,C,31,6-11,260,Kansas,1.276e+06
Kevin Love,Cleveland Cavaliers,0,PF,27,6-10,251,UCLA,1.9689e+07
Jordan McRae,Cleveland Cavaliers,12,SG,25,6-5,179,Tennessee,111196
Timofey Mozgov,Cleveland Cavaliers,20,C,29,7-1,275,,4.95e+06
Iman Shumpert,Cleveland Cavaliers,4,SG,25,6-5,220,Georgia Tech,8.988765e+06
J.R. Smith,Cleveland Cavaliers,5,SG,30,6-6,225,,5e+06
Tristan Thompson,Cleveland Cavaliers,13,C,25,6-9,238,Texas,1.426087e+07
Mo Williams,Cleveland Cavaliers,52,PG,33,6-1,198,Alabama,2.1e+06
Joel Anthony,Detroit Pistons,50,C,33,6-9,245,UNLV,2.5e+06
Aron Baynes,Detroit Pistons,12,C,29,6-10,260,Washington State,6.5e+06
Steve Blake,Detroit Pistons,22,PG,36,6-3,172,Maryland,2.170465e+06
Lorenzo Brown,Detroit Pistons,17,PG,25,6-5,189,North Carolina State,111444
Reggie Bullock,Detroit Pistons,25,SF,25,6-7,205,North Carolina,1.25244e+06
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,6-5,205,Georgia,2.89176e+06
Spencer Dinwiddie,Detroit Pistons,8,PG,23,6-6,200,Colorado,845059
Andre Drummond,Detroit Pistons,0,C,22,6-11,279,Connecticut,3.272091e+06
Tobias Harris,Detroit Pistons,34,SF,23,6-9,235,Tennessee,1.6e+07
Darrun Hilliard,Detroit Pistons,6,SF,23,6-6,205,Villanova,600000
Reggie Jackson,Detroit Pistons,1,PG,26,6-3,208,Boston College,1.3913044e+07
Stanley Johnson,Detroit Pistons,3,SF,20,6-7,245,Arizona,2.84196e+06
Jodie Meeks,Detroit Pistons,20,SG,28,6-4,210,Kentucky,6.27e+06
Marcus Morris,Detroit Pistons,13,PF,26,6-9,235,Kansas,5e+06
Anthony Tolliver,Detroit Pistons,43,PF,31,6-8,240,Creighton,3e+06
Lavoy Allen,Indiana Pacers,5,PF,27,6-9,255,Temple,4.05e+06
Rakeem Christmas,Indiana Pacers,25,PF,24,6-9,250,Syracuse,1.007026e+06
Monta Ellis,Indiana Pacers,11,SG,30,6-3,185,,1.03e+07
Paul George,Indiana Pacers,13,SF,26,6-9,220,Fresno State,1.7120106e+07
George Hill,Indiana Pacers,3,PG,30,6-3,188,IUPUI,8e+06
Jordan Hill,Indiana Pacers,27,C,28,6-10,235,Arizona,4e+06
Solomon Hill,Indiana Pacers,44,SF,25,6-7,225,Arizona,1.35888e+06
Ty Lawson,Indiana Pacers,10,PG,28,5-11,195,North Carolina,211744
Ian Mahinmi,Indiana Pacers,28,C,29,6-11,250,,4e+06
C.J. Miles,Indiana Pacers,0,SF,29,6-6,231,,4.394225e+06
Glenn Robinson III,Indiana Pacers,40,SG,22,6-7,222,Michigan,1.1e+06
Rodney Stuckey,Indiana Pacers,2,PG,30,6-5,205,Eastern Washington,7e+06
Myles Turner,Indiana Pacers,33,PF,20,6-11,243,Texas,2.35776e+06
Shayne Whittington,Indiana Pacers,42,PF,25,6-11,250,Western Michigan,845059
Joe Young,Indiana Pacers,1,PG,23,6-2,180,Oregon,1.007026e+06
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,6-11,222,,1.95396e+06
Jerryd Bayless,Milwaukee Bucks,19,PG,27,6-3,200,Arizona,3e+06
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,6-6,190,Syracuse,2.39904e+06
Jared Cunningham,Milwaukee Bucks,9,SG,25,6-4,195,Oregon State,947276
Tyler Ennis,Milwaukee Bucks,11,PG,21,6-3,194,Syracuse,1.66236e+06
John Henson,Milwaukee Bucks,31,PF,25,6-11,229,North Carolina,2.943221e+06
Damien Inglis,Milwaukee Bucks,17,SF,21,6-8,246,,855000
O.J. Mayo,Milwaukee Bucks,3,SG,28,6-5,210,USC,8e+06
Khris Middleton,Milwaukee Bucks,22,SG,24,6-8,234,Texas A&M,1.47e+07
Greg Monroe,Milwaukee Bucks,15,C,26,6-11,265,Georgetown,1.64075e+07
Steve Novak,Milwaukee Bucks,6,SF,32,6-10,225,Marquette,295327
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,6-9,257,LSU,845059
Jabari Parker,Milwaukee Bucks,12,PF,21,6-8,250,Duke,5.15244e+06
Miles Plumlee,Milwaukee Bucks,18,C,27,6-11,249,Duke,2.109294e+06
Greivis Vasquez,Milwaukee Bucks,21,PG,29,6-6,217,Maryland,6.6e+06
Rashad Vaughn,Milwaukee Bucks,20,SG,19,6-6,202,UNLV,1.73304e+06
Justin Anderson,Dallas Mavericks,1,SG,22,6-6,228,Virginia,1.449e+06
J.J. Barea,Dallas Mavericks,5,PG,31,6-0,185,Northeastern,4.29e+06
Jeremy Evans,Dallas Mavericks,21,SF,28,6-9,200,Western Kentucky,1.100602e+06
Raymond Felton,Dallas Mavericks,2,PG,31,6-1,205,North Carolina,3.950313e+06
Devin Harris,Dallas Mavericks,34,PG,33,6-3,185,Wisconsin,4.053446e+06
David Lee,Dallas Mavericks,42,PF,33,6-9,245,Florida,2.085671e+06
Wesley Matthews,Dallas Mavericks,23,SG,29,6-5,220,Marquette,1.64075e+07
JaVale McGee,Dallas Mavericks,11,C,28,7-0,270,Nevada,1.270964e+06
Salah Mejri,Dallas Mavericks,50,C,29,7-2,245,,525093
Dirk Nowitzki,Dallas Mavericks,41,PF,37,7-0,245,,8.333334e+06
Zaza Pachulia,Dallas Mavericks,27,C,32,6-11,275,,5.2e+06
Chandler Parsons,Dallas Mavericks,25,SF,27,6-10,230,Florida,1.53615e+07
Dwight Powell,Dallas Mavericks,7,PF,24,6-11,240,Stanford,845059
Charlie Villanueva,Dallas Mavericks,3,PF,31,6-11,232,Connecticut,947276
Deron Williams,Dallas Mavericks,8,PG,31,6-3,200,Illinois,5.378974e+06
Trevor Ariza,Houston Rockets,1,SF,30,6-8,215,UCLA,8.19303e+06
Michael Beasley,Houston Rockets,8,SF,27,6-10,235,Kansas State,306527
Patrick Beverley,Houston Rockets,2,PG,27,6-1,185,Arkansas,6.486486e+06
Corey Brewer,Houston Rockets,33,SG,30,6-9,186,Florida,8.229375e+06
Clint Capela,Houston Rockets,15,PF,22,6-10,240,,1.24272e+06
Sam Dekker,Houston Rockets,7,SF,22,6-9,230,Wisconsin,1.6464e+06
Andrew Goudelock,Houston Rockets,0,PG,27,6-3,200,Charleston,200600
James Harden,Houston Rockets,13,SG,26,6-5,220,Arizona State,1.5756438e+07
Montrezl Harrell,Houston Rockets,35,PF,22,6-8,240,Louisville,1e+06
Dwight Howard,Houston Rockets,12,C,30,6-11,265,,2.2359364e+07
Terrence Jones,Houston Rockets,6,PF,24,6-9,252,Kentucky,2.48953e+06
K.J. McDaniels,Houston Rockets,32,SG,23,6-6,205,Clemson,3.189794e+06
Donatas Motiejunas,Houston Rockets,20,PF,25,7-0,222,,2.288205e+06
Josh Smith,Houston Rockets,5,C,30,6-9,225,,947276
Jason Terry,Houston Rockets,31,SG,38,6-2,185,Arizona,947276
Jordan Adams,Memphis Grizzlies,3,SG,21,6-5,209,UCLA,1.4046e+06
Tony Allen,Memphis Grizzlies,9,SG,34,6-4,213,Oklahoma State,5.158539e+06
Chris Andersen,Memphis Grizzlies,7,PF,37,6-10,245,Blinn College,5e+06
Matt Barnes,Memphis Grizzlies,22,SF,36,6-7,226,UCLA,3.5425e+06
Vince Carter,Memphis Grizzlies,15,SG,39,6-6,220,North Carolina,4.088019e+06
Mike Conley,Memphis Grizzlies,11,PG,28,6-1,175,Ohio State,9.588426e+06
Bryce Cotton,Memphis Grizzlies,8,PG,23,6-1,165,Providence,700902
Jordan Farmar,Memphis Grizzlies,4,PG,29,6-2,180,UCLA,NaN
Marc Gasol,Memphis Grizzlies,33,C,31,7-1,255,,1.9688e+07
JaMychal Green,Memphis Grizzlies,0,PF,25,6-9,227,Alabama,845059
P.J. Hairston,Memphis Grizzlies,19,SF,23,6-6,230,North Carolina,1.20144e+06
Jarell Martin,Memphis Grizzlies,10,PF,22,6-10,239,LSU,1.23084e+06
Ray McCallum,Memphis Grizzlies,5,PG,24,6-3,190,Detroit,NaN
Xavier Munford,Memphis Grizzlies,14,PG,24,6-3,180,Rhode Island,NaN
Zach Randolph,Memphis Grizzlies,50,PF,34,6-9,260,Michigan State,9.638555e+06
Lance Stephenson,Memphis Grizzlies,1,SF,25,6-5,230,Cincinnati,9e+06
Alex Stepheson,Memphis Grizzlies,35,PF,28,6-10,270,USC,NaN
Brandan Wright,Memphis Grizzlies,34,PF,28,6-10,210,North Carolina,5.464e+06
Alexis Ajinca,New Orleans Pelicans,42,C,28,7-2,248,,4.389607e+06
Ryan Anderson,New Orleans Pelicans,33,PF,28,6-10,240,California,8.5e+06
Omer Asik,New Orleans Pelicans,3,C,29,7-0,255,,9.213483e+06
Luke Babbitt,New Orleans Pelicans,8,SF,26,6-9,225,Nevada,1.100602e+06
Norris Cole,New Orleans Pelicans,30,PG,27,6-2,175,Cleveland State,3.036927e+06
Dante Cunningham,New Orleans Pelicans,44,PF,29,6-8,230,Villanova,2.85e+06
Anthony Davis,New Orleans Pelicans,23,PF,23,6-10,253,Kentucky,7.07073e+06
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,6-6,203,Iowa State,169883
Toney Douglas,New Orleans Pelicans,16,PG,30,6-2,195,Florida State,1.164858e+06
James Ennis,New Orleans Pelicans,4,SF,25,6-7,210,Long Beach State,845059
Tyreke Evans,New Orleans Pelicans,1,SG,26,6-6,220,Memphis,1.0734586e+07
Tim Frazier,New Orleans Pelicans,2,PG,25,6-1,170,Penn State,845059
Alonzo Gee,New Orleans Pelicans,15,SF,29,6-6,225,Alabama,1.32e+06
Eric Gordon,New Orleans Pelicans,10,SG,27,6-4,215,Indiana,1.5514031e+07
Jordan Hamilton,New Orleans Pelicans,25,SG,25,6-7,220,Texas,1.015421e+06
Jrue Holiday,New Orleans Pelicans,11,PG,25,6-4,205,UCLA,1.0595507e+07
Orlando Johnson,New Orleans Pelicans,0,SG,27,6-5,220,UC Santa Barbara,55722
Kendrick Perkins,New Orleans Pelicans,5,C,31,6-10,270,,947276
Quincy Pondexter,New Orleans Pelicans,20,SF,28,6-7,220,Washington,3.382023e+06
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,6-11,240,Texas,1.9689e+07
Kyle Anderson,San Antonio Spurs,1,SF,22,6-9,230,UCLA,1.14288e+06
Matt Bonner,San Antonio Spurs,15,C,36,6-10,235,Florida,947276
Boris Diaw,San Antonio Spurs,33,C,34,6-8,250,,7.5e+06
Tim Duncan,San Antonio Spurs,21,C,40,6-11,250,Wake Forest,5.25e+06
Manu Ginobili,San Antonio Spurs,20,SG,38,6-6,205,,2.814e+06
Danny Green,San Antonio Spurs,14,SG,28,6-6,215,North Carolina,1e+07
Kawhi Leonard,San Antonio Spurs,2,SF,24,6-7,230,San Diego State,1.64075e+07
Boban Marjanovic,San Antonio Spurs,40,C,27,7-3,290,,1.2e+06
Kevin Martin,San Antonio Spurs,23,SG,33,6-7,199,Western Carolina,200600
Andre Miller,San Antonio Spurs,24,PG,40,6-3,200,Utah,250750
Patty Mills,San Antonio Spurs,8,PG,27,6-0,185,Saint Mary's,3.578947e+06
Tony Parker,San Antonio Spurs,9,PG,34,6-2,185,,1.34375e+07
Jonathon Simmons,San Antonio Spurs,17,SG,26,6-6,195,Houston,525093
David West,San Antonio Spurs,30,PF,35,6-9,250,Xavier,1.499187e+06
Kent Bazemore,Atlanta Hawks,24,SF,26,6-5,201,Old Dominion,2e+06
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,6-6,205,Michigan,1.30452e+06
Kirk Hinrich,Atlanta Hawks,12,SG,35,6-4,190,Kansas,2.85494e+06
Al Horford,Atlanta Hawks,15,C,30,6-10,245,Florida,1.2e+07
Kris Humphries,Atlanta Hawks,43,PF,31,6-9,235,Minnesota,1e+06
Kyle Korver,Atlanta Hawks,26,SG,35,6-7,212,Creighton,5.746479e+06
Paul Millsap,Atlanta Hawks,4,PF,31,6-8,246,Louisiana Tech,1.8671659e+07
Mike Muscala,Atlanta Hawks,31,PF,24,6-11,240,Bucknell,947276
Lamar Patterson,Atlanta Hawks,13,SG,24,6-5,225,Pittsburgh,525093
Dennis Schroder,Atlanta Hawks,17,PG,22,6-1,172,,1.7634e+06
Mike Scott,Atlanta Hawks,32,PF,27,6-8,237,Virginia,3.333333e+06
Thabo Sefolosha,Atlanta Hawks,25,SF,32,6-7,220,,4e+06
Tiago Splitter,Atlanta Hawks,11,C,31,6-11,245,,9.75625e+06
Walter Tavares,Atlanta Hawks,22,C,24,7-3,260,,1e+06
Jeff Teague,Atlanta Hawks,0,PG,27,6-2,186,Wake Forest,8e+06
Nicolas Batum,Charlotte Hornets,5,SG,27,6-8,200,,1.3125306e+07
Troy Daniels,Charlotte Hornets,30,SG,24,6-4,205,Virginia Commonwealth,947276
Jorge Gutierrez,Charlotte Hornets,12,PG,27,6-3,189,California,189455
Tyler Hansbrough,Charlotte Hornets,50,PF,30,6-9,250,North Carolina,947276
Aaron Harrison,Charlotte Hornets,9,SG,21,6-6,210,Kentucky,525093
